"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"prov:Provenance:1                    ","Class","Provenance","1.0","prov","This Provenance class is an implementation of the WC3 Provenance Model pattern ....","prov","","","","","","","","","","",""
"prov:Provenance:2                     prov:title:1                         ","Attribute","title","n/a","prov","The attribute title provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Provenance:2                     prov:local_id:1                      ","Attribute","local_id","n/a","prov","The attribute local_identifier provides ","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Provenance:2                     prov:description:1                   ","Attribute","description","n/a","prov","The attribute description provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Provenance_Entities:1           ","Class","Provenance_Entities","1.0","prov","The Provenance Entities class contains the Entity definitions.","prov","","","","","","","","","","",""
"prov:Entity:1                        ","Class","Entity","1.0","prov","An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary.","prov","","","","","","","","","","",""
"prov:Entity:2                         prov:title:1                         ","Attribute","title","n/a","prov","The attribute title provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Entity:2                         prov:local_id:1                      ","Attribute","local_id","n/a","prov","The attribute local_identifier provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Entity:2                         prov:description:1                   ","Attribute","description","n/a","prov","The attribute description provides ","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Provenance_Activities:1         ","Class","Provenance_Activities","1.0","prov","The Provenance Activities class contains the Activity definitions.","prov","","","","","","","","","","",""
"prov:Activity:1                      ","Class","Activity","1.0","prov","An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities..","prov","","","","","","","","","","",""
"prov:Activity:2                       prov:title:1                         ","Attribute","title","n/a","prov","The attribute title provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Activity:2                       prov:local_id:1                      ","Attribute","local_id","n/a","prov","The attribute local_identifier provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Activity:2                       prov:description:1                   ","Attribute","description","n/a","prov","The attribute description provides ","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Provenance_Agents:1             ","Class","Provenance_Agents","1.0","prov","The Provenance Agents class contains the Agent definitions.","prov","","","","","","","","","","",""
"prov:Agent:1                         ","Class","Agent","1.0","prov","An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity.","prov","","","","","","","","","","",""
"prov:Agent:2                          prov:title:1                         ","Attribute","title","n/a","prov","The attribute title provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Agent:2                          prov:local_id:1                      ","Attribute","local_id","n/a","prov","The attribute local_identifier provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Agent:2                          prov:description:1                   ","Attribute","description","n/a","prov","The attribute description provides ","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Provenance_Relationships:1      ","Class","Provenance_Relationships","1.0","prov","The Provenance Agents class contains the Agent definitions.","prov","","","","","","","","","","",""
"prov:Relationship:1                  ","Class","Relationship","1.0","prov","The Relationship class defines a relationship.","prov","","","","","","","","","","",""
"prov:Relationship:2                   prov:title:1                         ","Attribute","title","n/a","prov","The attribute title provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Relationship:2                   prov:local_id:1                      ","Attribute","local_id","n/a","prov","The attribute local_identifier provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Relationship:2                   prov:description:1                   ","Attribute","description","n/a","prov","The attribute description provides ","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Relationship:2                   prov:time:1                          ","Attribute","time","n/a","prov","time: an OPTIONAL ""usage time"" (t), the time at which the entity started to be used","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Relation_Type:1                 ","Class","Relation_Type","1.0","prov","The Relation Type class contains the set of relation types of which only one is allowed for each relationship.","prov","","","","","","","","","","",""
"prov:WasGeneratedBy:1                ","Class","WasGeneratedBy","1.0","prov","Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. ","prov","","","","","","","","","","",""
"prov:WasGeneratedBy:2                 prov:entity1:1                       ","Attribute","entity1","n/a","prov","entity1: an entity identifier (e) -- The attribute entity1 is an OPTIONAL identifier for an entity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:WasGeneratedBy:2                 prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Used:1                          ","Class","Used","1.0","prov","Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)","prov","","","","","","","","","","",""
"prov:Used:2                           prov:activity1:1                     ","Attribute","activity1","n/a","prov","activity1: an identifier (a) for the activity - The attribute activity1 is an OPTIONAL identifier for an activity.","prov","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"prov:Used:2                           prov:entity1:1                       ","Attribute","entity1","n/a","prov","entity1: an entity identifier (e) -- The attribute entity1 is an OPTIONAL identifier for an entity.","prov","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
